pmid,title,abstract,authors,journal,pub_date
40435402,Pediatric Cancer Genetics and Genomics.,"Molecular profiling of DNA and RNA from pediatric cancers by next-generation sequencing has been demonstrated to improve diagnosis and prognosis and to identify somatic alterations indicating vulnerability to targeted therapies. Hence, much like in the treatment of adult cancers, molecular profiling is now routinely utilized in clinical workflows for pediatric cancers as a companion to conventional pathology diagnosis. Many variants of unknown significance identified through DNA profiling are being characterized by saturation genome editing, enabled by CRISPR editing technology and clever functional assays. Newer technologies and analytics are revealing additional structural complexity around cancer drivers and gene fusions in pediatric cancer DNA. Similarly, computational methods such as rare variant association studies and polygenic risk scoring are being used to identify novel cancer susceptibility. Together, these advances are expanding our understanding of pediatric cancer's complexity and fueling the development of emerging methods such as liquid biopsy-based monitoring.",Mardis ER,Annual review of genomics and human genetics,"{'Year': '2025', 'Month': 'Aug'}"
38897721,Adaptive Cancer Therapy in the Age of Generative Artificial Intelligence.,"Therapeutic resistance is a major challenge facing the design of effective cancer treatments. Adaptive cancer therapy is in principle the most viable approach to manage cancer's adaptive dynamics through drug combinations with dose timing and modulation. However, there are numerous open issues facing the clinical success of adaptive therapy. Chief among these issues is the feasibility of real-time predictions of treatment response which represent a bedrock requirement of adaptive therapy. Generative artificial intelligence has the potential to learn prediction models of treatment response from clinical, molecular, and radiomics data about patients and their treatments. The article explores this potential through a proposed integration model of Generative Pre-Trained Transformers (GPTs) in a closed loop with adaptive treatments to predict the trajectories of disease progression. The conceptual model and the challenges facing its realization are discussed in the broader context of artificial intelligence integration in oncology.",Derbal Y,Cancer control : journal of the Moffitt Cancer Center,"{'Year': '2024', 'Season': 'Jan-Dec'}"
8701286,Cancer's psychological challenges.,,Holland JC,Scientific American,"{'Year': '1996', 'Month': 'Sep'}"
38047326,Cancer's sweet spot: techniques to harness saccharides in tumor biology.,"All of the cells in our bodies are enveloped in sugar, this sweet coating plays a particularly interesting and crucial role in tumor biology. Here, we review the techniques being used to detect and exploit cancer's sweet spot. including click chemistry, glycoproteomic profiling and bioorthogonal chemistry.",Parker J,BioTechniques,"{'Year': '2024', 'Month': 'Jan'}"
37302964,Dr. Kirby Bland: Breast cancer's biggest enemy.,,Weigel RJ,American journal of surgery,"{'Year': '2023', 'Month': 'Sep'}"
40088375,Cancer screening in patients with acromegaly: a plea for a personalized approach and international registries.,"Acromegaly is a rare condition, and often diagnosis is delayed by several years, for most patients. Acromegaly is characterized by short and long-term respiratory, cardiovascular and metabolic comorbidities, with possible impact on mortality. In the last two decades, life expectancy has progressively increased in part due to a reduction in biochemically active disease, multidisciplinary treatment approaches and a reduction in complications, and the availability of new drugs. Of note, a leading cause of mortality, cardiovascular comorbidity, has been replaced by cancer(s). As such, neoplasms more frequently observed (colon, thyroid, breast, prostate, and stomach) in patients with acromegaly are receiving increased attention. Chronic exposure to increased growth hormone serum levels may contribute to an increase in the occurrence and progression of cancers. Various efforts have been made to determine the pathogenetic mechanisms involved. However, there are no clear medical-related societal agreement(s) in relation to screening methods or timing regarding neoplasm(s) diagnosis in patients with acromegaly. Additionally, independent and dependent risk factor data in patients with acromegaly is lacking. International/national registries could help lay the groundwork to better study the impact of cancer(s) in patients with acromegaly and subsequently lead to and validate the most appropriate diagnostic and therapeutic path forward.",Demarchis L; Chiloiro S; Giampietro A; De Marinis L; Bianchi A; Fleseriu M; Pontecorvi A,Reviews in endocrine & metabolic disorders,"{'Year': '2025', 'Month': 'Aug'}"
26891021,Cancer's Moonshot.,,Sender LS,Journal of adolescent and young adult oncology,"{'Year': '2016', 'Month': 'Mar'}"
37047714,Evolution-Informed Strategies for Combating Drug Resistance in Cancer.,"The ever-changing nature of cancer poses the most difficult challenge oncologists face today. Cancer's remarkable adaptability has inspired many to work toward understanding the evolutionary dynamics that underlie this disease in hopes of learning new ways to fight it. Eco-evolutionary dynamics of a tumor are not accounted for in most standard treatment regimens, but exploiting them would help us combat treatment-resistant effectively. Here, we outline several notable efforts to exploit these dynamics and circumvent drug resistance in cancer.",Lin-Rahardja K; Weaver DT; Scarborough JA; Scott JG,International journal of molecular sciences,"{'Year': '2023', 'Month': 'Apr', 'Day': '04'}"
36369371,Climbing cancer's MYC mountain.,,Mullard A,Nature reviews. Drug discovery,"{'Year': '2022', 'Month': 'Dec'}"
36899363,Advancing preclinical cancer models to assess clinically relevant outcomes.,"Cancer models are indispensable research tools for elucidating the mechanisms involved in tumor onset, progression and treatment resistance. They are key in evaluating therapeutics prior clinical trials. In this editorial, we invite contributions for a BMC Cancer's Collection of articles addressing 'Advances in pre-clinical cancer models' towards relivable outcomes at the preclinical stage.",Golebiewska A; Fields RC,BMC cancer,"{'Year': '2023', 'Month': 'Mar', 'Day': '10'}"
39684874,The Genomic and Biologic Landscapes of Breast Cancer and Racial Differences.,"Breast cancer is a significant health challenge worldwide and is the most frequently diagnosed cancer among women globally. This review provides a comprehensive overview of breast cancer biology, genomics, and microbial dysbiosis, focusing on its various subtypes and racial differences. Breast cancer is primarily classified into carcinomas and sarcomas, with carcinomas constituting most cases. Epidemiology and breast cancer risk factors are important for public health intervention. Staging and grading, based on the TNM and Nottingham grading systems, respectively, are crucial to determining the clinical outcome and treatment decisions. Histopathological subtypes include in situ and invasive carcinomas, such as invasive ductal carcinoma (IDC) and invasive lobular carcinoma (ILC). The review explores molecular subtypes, including Luminal A, Luminal B, Basal-like (Triple Negative), and HER2-enriched, and delves into breast cancer's histological and molecular progression patterns. Recent research findings related to nuclear and mitochondrial genetic alterations, epigenetic reprogramming, and the role of microbiome dysbiosis in breast cancer and racial differences are also reported. The review also provides an update on breast cancer's current diagnostics and treatment modalities.",Galappaththi SPL; Smith KR; Alsatari ES; Hunter R; Dyess DL; Turbat-Herrera EA; Dasgupta S,International journal of molecular sciences,"{'Year': '2024', 'Month': 'Dec', 'Day': '07'}"
37317873,Uncovering cancer's secrets: could liquid biopsies and artificial intelligence hold the answers?,"Tweetable abstract How are #liquidbiopsies and #AI pushing us closer to the goal of early cancer detection for all? Plus, what more needs to be done to truly deciphers cancer's secrets? Find out in this editorial by @JadeParkerB.",Parker J,"Future oncology (London, England)","{'Year': '2023', 'Month': 'Jun'}"
35732743,Cancer's sensory experience.,,Dart A,Nature reviews. Cancer,"{'Year': '2022', 'Month': 'Aug'}"
33427920,[Intratumoral heterogeneity of gastric cancer-impact on biomarker evaluation].,"Gastric carcinomas often measure more than 5 cm at primary diagnosis. Predictive biomarker testing is usually carried out on tissue biopsies, which do not represent the entire tumor biology and intratumoral heterogeneity. The aim of this study was to explore gastric cancer's intratumoral heterogeneity and its impact on the evaluation of predictive and prognostic biomarkers. The study cohort consisted of approximately 500 patients with therapy-naive adenocarcinomas of the stomach or the esophagogastric junction. The following biomarkers were determined: HER2, MET, Ki67, PD-L1/PD‑1, VISTA, EBV-status, and PIK3CA. All examined biomarkers were influenced by gastric cancer's intratumoral heterogeneity. Tissue biopsies might carry the risk of sampling errors, which may significantly hamper adequate tumor classification in a clinical setting. Our findings unravel issues of tumor heterogeneity in gastric cancer. Biomarker diagnostics on tissue biopsies should be carried out on at least five biopsies of different tumor areas. If possible, biomarker diagnostics should be repeated on resection specimens. Tissue microarrays should no longer be used for research studies of gastric cancer.",Halske C,Der Pathologe,"{'Year': '2020', 'Month': 'Dec'}"
26590711,Cancer's Fuel Choice: New Flavors for a Picky Eater.,"Otto Warburg discovered that cancer cells exhibit a high rate of glycolysis in the presence of ample oxygen, a process termed aerobic glycolysis, in 1924 (Warburg et al., 1924). Since then we have significantly advanced our understanding of cancers' fuel choice to meet their demands for energy and for the production of biosynthetic precursors. In this review, we will discuss the preferred nutrients of cancer cells and how they are utilized to satisfy their bioenergetic and biosynthetic needs. In addition, we will describe how cell intrinsic and extrinsic factors such as oncogene mutations, nutrient and oxygen availability, and other microenvironmental factors influence fuel choice.",DeNicola GM; Cantley LC,Molecular cell,"{'Year': '2015', 'Month': 'Nov', 'Day': '19'}"
40287855,A Guide to Extrachromosomal DNA: Cancer's Dynamic Circular Genome.,"Focal amplifications of oncogenes are important cancer drivers. They can occur on chromosomes or in the context of circular extrachromosomal DNA (ecDNA). Many key features of ecDNAs were described in the 1960s to 1980s, including their ""unstable"" nature and their ability to confer drug resistance. With the benefit of new technologies, our understanding of ecDNAs has advanced dramatically in the last decade, both in breadth and in depth, including the remarkable discovery that ecDNAs are present in 17% of all cancers and are associated with worse patient outcomes. In this study, we present a guide to ecDNA tools and biology. Focal amplifications on ecDNAs are commonly found in cancer and are associated with poor patient outcomes and distinct biology. In this review, we provide a guide to ecDNA biology and available tools as well as our perspective on this rapidly evolving field.",Weiser NE; Watkins TBK; Chang HY; Mischel PS,Cancer discovery,"{'Year': '2025', 'Month': 'Jun', 'Day': '03'}"
19549887,Aneuploidy: cancer's fatal flaw?,"Aneuploidy is a characteristic of cancer, with greater than 90% of all solid tumors in humans carrying an aberrant karyotype. Yet, whether or how this condition contributes to tumorigenesis is not understood. Here we summarize our recent findings on the effects of aneuploidy on cell physiology and proliferation. These studies suggest that aneuploidy puts significant stress on the cell, which responds to this condition in what can be viewed as an aneuploidy stress response. We will discuss how our results may bear on our understanding of the role of this condition in tumorigenesis and how they may provide new opportunities for treatment of the disease.",Williams BR; Amon A,Cancer research,"{'Year': '2009', 'Month': 'Jul', 'Day': '01'}"
22202195,Finding cancer's weakest link.,"The biological programs of vertebrates exhibit a remarkable degree of functional degeneracy, adaptive compensation and robustness, to preserve homeostasis and generate reproducible phenotypic outputs irrespective of variations in signal strength, noise and quality. Cancers are difficult to treat not only because they are so mechanistically diverse but also because they adapt or evolve in response to any pharmacological elective pressure we impose upon them. Hence, an ideal cancer drug target would exert a function both necessary for cancer cell survival and functionally non-redundant, rendering it impossible for tumor cells to compensate for, or evolve independence from, the inhibitory effect of any drug aimed at that target. In this review, we discuss the unique, non-degenerate and highly pleiotropic role played by Myc in coordinating, engaging and maintaining the diverse intracellular and extracellular programs required for cell proliferation in vivo. These properties make Myc a compelling candidate cancer drug target, at least in principle: an assertion recently reinforced by new in vivo genetic data.",Sodir NM; Evan GI,Oncotarget,"{'Year': '2011', 'Month': 'Dec'}"
26160924,Cancer's copper connections.,,Garber K,"Science (New York, N.Y.)","{'Year': '2015', 'Month': 'Jul', 'Day': '10'}"
32527812,Computing cancer's weak spots.,,Khamsi R,"Science (New York, N.Y.)","{'Year': '2020', 'Month': 'Jun', 'Day': '12'}"
28025559,Cancer's Achilles' Heel: Apoptosis and Necroptosis to the Rescue.,"Apoptosis, and the more recently discovered necroptosis, are two avenues of programmed cell death. Cancer cells survive by evading these two programs, driven by oncogenes and tumor suppressor genes. While traditional therapy using small molecular inhibitors and chemotherapy are continuously being utilized, a new and exciting approach is actively underway by identifying and using synergistic relationship between driver and rescue genes in a cancer cell. Through these synthetic lethal relationships, we are gaining tremendous insights into tumor vulnerabilities and specific molecular avenues for induction of programmed cell death. In this review, we briefly discuss the two cell death processes and cite examples of such synergistic manipulations for therapeutic purposes.",Dasgupta A; Nomura M; Shuck R; Yustein J,International journal of molecular sciences,"{'Year': '2016', 'Month': 'Dec', 'Day': '23'}"
35325197,Cancer's Lasting Financial Burden: Evidence From a Longitudinal Assessment.,"The purpose of this study was to conduct a longitudinal analysis of out-of-pocket expenditure (OOPE) trajectories for the assessment of cancer's lasting financial impact. We identified newly diagnosed cancer patients and constructed matched control group of noncancer participants from the 2002-2018 Health and Retirement Study. Outcomes included monthly OOPE for prescription drugs (RX-OOPE_MONTHLY) and OOPE for medical services other than drugs in the past 2 years (non-RX-OOPE_2YR), consumer debt, and new individual retirement account (IRA) withdrawals. Generalized linear models were used to compare OOPEs between cancer and matched control groups. Logistic regressions were used to compare household-level consumer debt or early IRA withdrawal. Subgroup analysis stratified patients by age, health status, and household income, with the low-income group stratified by Medicaid coverage. All statistical tests were 2-sided. The study cohort included 2022 cancer patients and 10 110 participants in the matched noncancer control group. Mean non-RX-OOPE_2YR of cancer patients was similar to that of participants in the matched control group before diagnosis but statistically significantly higher at diagnosis ($1157, P < .001), 2 ($511, P < .001) years, 4 ($360, P = .006) years, and 6  ($430, P = .01) years after diagnosis. A similar pattern was observed in RX-OOPE_MONTHLY. A statistically significantly higher proportion of cancer patients incurred consumer debt at diagnosis (34.5% vs 29.9%; P < .001) and 2 years after (32.5% vs 28.2%; P = .002). There was no statistically significant difference in new IRA withdrawals. Patients experienced lasting financial consequences following cancer diagnosis that were most pronounced among patients aged 65 years and older, in good-to-excellent health at baseline, and with low income, but without Medicaid coverage. Policies to reduce costs and expand insurance coverage options while reducing cost-sharing are needed.",Shih YT; Owsley KM; Nicholas LH; Yabroff KR; Bradley CJ,Journal of the National Cancer Institute,"{'Year': '2022', 'Month': 'Jul', 'Day': '11'}"
27839715,[Lucy's cancer(s): A prehistorical origin?].,"The recent discovery of the earliest hominin cancer, a 1.7-million-year-old osteosarcoma from South Africa has raised the question of the origin of cancer and its determinants. We aimed to determine whether malignant and benign tumors exist in the past societies. A review of literature using Medline database and Google about benign and malignant tumors in prehistory and antiquity. Only cases with morphological and paraclinical analysis were included. The following keywords were used: cancer; paleopathology; malignant neoplasia; benign tumor; leiomyoma; myoma; breast cancer; mummies; soft tissue tumor; Antiquity. Thirty-five articles were found in wich there were 34 malignant tumors, 10 benign tumors and 11 gynecological benign tumors. The fact that there were some malignant tumors, even few tumors and probably underdiagnosed, in the past may be evidence that cancer is not only a disease of the modern world. Cancer may be indeed a moving target: we have likely predisposing genes to cancer inherited from our ancestors. The malignant disease could therefore appear because of our modern lifestyle (carcinogens and risk factors related to the modern industrial society).",Chene G; Lamblin G; Le Bail-Carval K; Beaufils E; Chabert P; Gaucherand P; Mellier G; Coppens Y,"Gynecologie, obstetrique & fertilite","{'Year': '2016', 'Month': 'Dec'}"
35475895,"Cancer Diagnosis, Treatment Linked to Suicide Risk.",Two recent studies pull data from millions of patient records to provide a comprehensive picture of cancer's psychologic burden on patients with different tumor types and treatment regimens. The findings underscore the elevated risk of suicide and self-harm among patients with cancer and can help oncologists identify those in need of psychiatric care.,,Cancer discovery,"{'Year': '2022', 'Month': 'Jun', 'Day': '02'}"
37932129,"Iron, Copper, and Selenium: Cancer's Thing for Redox Bling.","Cells require micronutrients for numerous basic functions. Among these, iron, copper, and selenium are particularly critical for redox metabolism, and their importance is heightened during oncogene-driven perturbations in cancer. In this review, which particularly focuses on iron, we describe how these micronutrients are carefully chaperoned about the body and made available to tissues, a process that is designed to limit the toxicity of free iron and copper or by-products of selenium metabolism. We delineate perturbations in iron metabolism and iron-dependent proteins that are observed in cancer, and describe the current approaches being used to target iron metabolism and iron-dependent processes.",Terzi EM; Possemato R,Cold Spring Harbor perspectives in medicine,"{'Year': '2024', 'Month': 'Apr', 'Day': '01'}"
35581457,A Truckstop on Cancer's Road.,,Gulati GS,Journal of general internal medicine,"{'Year': '2022', 'Month': 'Aug'}"
35373274,Rare Ovarian Cancer's First Positive Trial.,The MEK1/2 inhibitor trametinib increases progression-free survival from 7.2 months to 13 months in women with recurrent low-grade serous ovarian cancer. The drug also boosts the overall response rate from 6% to 26%.,,Cancer discovery,"{'Year': '2022', 'Month': 'Apr', 'Day': '01'}"
31492504,Cancer's global epidemiological transition and growth.,,Kocarnik J,"Lancet (London, England)","{'Year': '2020', 'Month': 'Mar', 'Day': '07'}"
25920610,Therapeutic potential of cancer stem cells.,"Cancer stem cells (CSCs) play an important role in cancer growth, self-renewal, metastasis, recurrence and radio/chemotherapy. However, the underlying mechanisms remain elusive. In this review, we explore the roles of CSCs in cancer's relapse and progression and discuss the biomarkers of CSCs to predict clinical outcome and their diagnostic potential. The different approaches of CSC therapies are also reviewed, including cytotoxic, radiation, differentiation and targeting signaling pathways. We also discuss the challenge of targeting CSCs in cancer therapy. In addition, non-coding RNAs in CSC therapies are also discussed.",Yang C; Jin K; Tong Y; Cho WC,"Medical oncology (Northwood, London, England)","{'Year': '2015', 'Month': 'Jun'}"
16982728,Cancer's molecular sweet tooth and the Warburg effect.,"More than 80 years ago, the renowned biochemist Otto Warburg described how cancer cells avidly consume glucose and produce lactic acid under aerobic conditions. Recent studies arguing that cancer cells benefit from this phenomenon, termed the Warburg effect, have renewed discussions about its exact role as cause, correlate, or facilitator of cancer. Molecular advances in this area may reveal tactics to exploit the cancer cell's ""sweet tooth"" for cancer therapy.",Kim JW; Dang CV,Cancer research,"{'Year': '2006', 'Month': 'Sep', 'Day': '15'}"
1508734,Pathophysiology of lung cancer.,"Cigarette smoking is responsible for approximately 30% of all cancer deaths. Smoking accounts for 85% of lung cancer cases in men and 75% in women. There are about 38 million former cigarette smokers and about 50 million smokers in the United States today. Smoking rates are higher among blacks, blue collar workers, and less educated people. More than 140,000 lives will be lost to cancer each year because of tobacco smoking. All cancers caused by cigarette smoking could be prevented. It is hoped that public education, smoking cessation programs, and efforts to eliminate carcinogens in the work environment will impact the future incidence of new lung cancer cases. As preventive measures continue, refinement in the diagnosis and treatment of cancer must continue to advance. The recognition of any one of cancer's seven warning signals and prompt subsequent action could lead to earlier detection and a chance for 3- and 5-year survival rates to improve. With medical and research progress, clinical concerns have grown beyond addressing only the patient's physical needs to include important issues such as employment and insurance needs and the psychosocial needs of both the patient and the family as they learn to live with cancer.",Seale DD; Beaver BM,The Nursing clinics of North America,"{'Year': '1992', 'Month': 'Sep'}"
37291266,The pyrimidinosome is cancer's Achilles' heel.,,Dodson M; Zhang DD,Nature cell biology,"{'Year': '2023', 'Month': 'Jun'}"
31059279,Sequencing Lung Cancer's Sequence.,,Watanabe H; Powell CA,American journal of respiratory and critical care medicine,"{'Year': '2019', 'Month': 'Sep', 'Day': '15'}"
28410500,Cancer is a propagandist.,"Communication among cells (also known as cross-talk) plays a prominent role in the current knowledge of the pathophysiology of cancer and of cancer-associated conditions such as paraneoplastic syndromes and cachexia that are responsible for much of cancer's morbidity and mortality. Yet, biomedical scientists lack an explicit unifying frame that places this exchange of molecular information at the core of their understanding of cancer as a systemic disease. Propaganda is a type of information that aims at misleading, a form of communication intended primarily to serve the messenger. The biased molecular cross-talk between cancer and non-cancer cells can be considered as a form of biological propaganda. I here propose cancer is a propagandist as a metaphor that may serve as a unifying frame to interpret both cancer and cancer-associated syndromes under the same communication-based concept and may thus serve to bring together research that is currently compartmentalized under separate disciplines.",Fantuzzi G,Studies in history and philosophy of biological and biomedical sciences,"{'Year': '2017', 'Month': 'Jun'}"
36655529,CYP1B1: A Promising Target in Cancer Drug Discovery.,"CYP1B1 plays an essential role in cancer's pathogenesis since it activates procarcinogens. Significantly, this enzyme catalyzes the hydroxylation of 17β-estradiol, leading to carcinogenic metabolites involved in carcinogenesis and cancer progression. Therefore, the inhibition of CYP1B1 activity is considered a therapeutic target for chemotherapy. In addition, CYP1B1 is overexpressed in hormone-dependent cancer cells and could be related to resistance to anticancer drugs. However, the activity of CYP1B1 in the tumor microenvironment can metabolize and activate prodrugs in cancer cells, providing more selectivity and being useful for chemoprevention or chemotherapy strategies. Furthermore, due to its importance in anticancer drug design, recent studies have reported using computational methods to understand the intermolecular interactions between possible ligands and CYP1B1. Therefore, in this perspective, we highlight recent findings in developing CYP1B1 inhibitors (flavonoids, trans-stilbenes, estradiol derivatives, and carbazoles) and CYP1B1-activated prodrugs (a chalcone DMU-135 and an oxime DMAKO-20). Finally, we have analyzed their possible molecular interactions with this enzymatic target by molecular docking, which can help to design new active substances.",Fabris M; Luiza Silva M; de Santiago-Silva KM; de Lima Ferreira Bispo M; Goes Camargo P,Anti-cancer agents in medicinal chemistry,{'Year': '2023'}
16702400,Genetics and biology of pancreatic ductal adenocarcinoma.,"Pancreatic ductal adenocarcinoma (PDAC) is the fourth leading cause of cancer death in the United States with a median survival of <6 mo and a dismal 5-yr survival rate of 3%-5%. The cancer's lethal nature stems from its propensity to rapidly disseminate to the lymphatic system and distant organs. This aggressive biology and resistance to conventional and targeted therapeutic agents leads to a typical clinical presentation of incurable disease at the time of diagnosis. The well-defined serial histopathologic picture and accompanying molecular profiles of PDAC and its precursor lesions have provided the framework for emerging basic and translational research. Recent advances include insights into the cancer's cellular origins, high-resolution genomic profiles pointing to potential new therapeutic targets, and refined mouse models reflecting both the genetics and histopathologic evolution of human PDAC. This confluence of developments offers the opportunity for accelerated discovery and the future promise of improved treatment.",Hezel AF; Kimmelman AC; Stanger BZ; Bardeesy N; Depinho RA,Genes & development,"{'Year': '2006', 'Month': 'May', 'Day': '15'}"
